tile_id,device_id,timestamp_utc,temperature_c,latitude,longitude,altitude_m,city,country
T3,02:00:00:6b:56:1a,2026-02-07T18:18:46+00:00,3.5,53.5852279663086,7.20812940597534,0,Norden,DE
T3,02:00:00:58:d9:2a,2026-02-07T18:18:42+00:00,2.2,53.5855499,7.212676,0,Landkreis Aurich,DE
T3,02:00:00:b0:b0:86,2026-02-07T18:12:49+00:00,2.4,53.585296,7.221029,2,Norden,DE
T3,02:00:00:8d:d5:9c,2026-02-07T18:16:10+00:00,1.5,53.676758,6.963122,4,Juist,DE
T3,02:00:00:b5:40:ce,2026-02-07T18:16:53+00:00,3.0,53.646865,7.238745,1,Norden,DE
T3,02:00:00:a2:42:44,2026-02-07T18:14:22+00:00,1.3,53.7007843319737,7.15169191360474,1,Norderney,DE
T3,02:00:00:2f:3a:44,2026-02-07T18:20:22+00:00,8.4,53.706446,7.142893,6,Norderney,DE
T3,02:00:00:9b:54:fe,2026-02-07T18:12:59+00:00,1.9,53.708904,7.142367,17,Norderney - Nördernee,DE
T3,02:00:00:29:47:90,2026-02-07T18:18:14+00:00,5.2,52.801309,6.057423,10,Steenwijkerwold,NL
T3,02:00:00:6b:83:0a,2026-02-07T18:17:59+00:00,5.6,52.786741,6.103633,4,Steenwijk,NL
T3,02:00:00:2a:e2:da,2026-02-07T18:14:42+00:00,5.5,52.78763,6.11392,8,Steenwijk,NL
T3,02:00:00:b2:bc:a4,2026-02-07T18:17:28+00:00,5.1,52.7797731204832,6.15773075844632,2,Steenwijkerland,NL
T3,02:00:00:90:6b:16,2026-02-07T18:16:42+00:00,5.1,52.7814191988081,6.15674014866272,2,Steenwijk,NL
T3,02:00:00:74:09:6a,2026-02-07T18:18:46+00:00,4.8,52.744877,6.217048,1,Meppel,NL
T3,02:00:00:71:3a:44,2026-02-07T18:19:09+00:00,4.8,52.7537604625241,6.34440626017749,3,Ruinen,NL
T3,02:00:00:b5:4e:80,2026-02-07T18:16:18+00:00,5.6,52.7629508972168,6.35150480270386,7,Ruinen,NL
T3,02:00:00:6b:5d:42,2026-02-07T18:14:07+00:00,5.0,52.774932,6.45241,11,Pesse,NL
T3,02:00:00:3a:09:d6,2026-02-07T18:15:18+00:00,5.1,52.780589,6.458749,11,Pesse,NL
T3,02:00:00:bd:c1:2a,2026-02-07T18:21:02+00:00,4.8,52.784906,6.563125,15,Drijber,NL
T3,02:00:00:52:fb:8e,2026-02-07T18:20:08+00:00,4.0,52.7742,6.591966,16,Nieuw-Balinge,NL
T3,02:00:00:32:ad:d4,2026-02-07T18:13:20+00:00,4.4,52.749175,6.712557,15,Coevorden,NL
T3,02:00:00:a2:28:10,2026-02-07T18:20:11+00:00,4.0,52.749747,6.71799,18,Coevorden,NL
T3,02:00:00:2e:98:5a,2026-02-07T18:21:05+00:00,7.1,52.75173,6.722428,15,Coevorden,NL
T3,02:00:00:bd:d1:44,2026-02-07T18:20:54+00:00,3.9,52.7687,6.7972,15,Coevorden,NL
T3,02:00:00:c2:39:34,2026-02-07T18:14:30+00:00,3.3,52.741626739502,6.85526275634766,14,Emmen,NL
T3,02:00:00:90:f6:9e,2026-02-07T18:18:58+00:00,3.9,52.7554,6.858472,14,Emmen,NL
T3,02:00:00:2a:e3:ae,2026-02-07T18:12:54+00:00,3.4,52.754623,6.893347,18,Emmen,NL
T3,02:00:00:7a:6e:ba,2026-02-07T18:21:04+00:00,4.2,52.762395,6.890666,21,Emmen,NL
T3,02:00:00:c2:45:28,2026-02-07T18:18:27+00:00,4.0,52.768981,6.895759,26,Emmen,NL
T3,02:00:00:83:c7:b0,2026-02-07T18:19:27+00:00,2.9,52.796375,7.017715,13,Emmer-Compascuum,NL
T3,02:00:00:5f:0f:5a,2026-02-07T18:14:20+00:00,3.3,52.788857,7.044253,17,Emmer-Compascuum,NL
T3,02:00:00:b5:2b:de,2026-02-07T18:17:08+00:00,2.9,52.753795,7.208029,19,Haren (Ems),DE
T3,02:00:00:63:14:fa,2026-02-07T18:20:23+00:00,3.2,52.790413,7.246023,11,Haren (Ems),DE
T3,02:00:00:7f:e9:52,2026-02-07T18:20:23+00:00,2.3,52.7856473,7.28417679999996,25,"Hanfeldstraße, Emmeln, Haren (Ems)",DE
T3,02:00:00:1c:3b:e8,2026-02-07T18:19:36+00:00,5.7,52.817735,6.058464,4,Marijenkampen,NL
T3,02:00:00:7a:a3:dc,2026-02-07T18:12:49+00:00,4.9,52.8065190397316,6.14353255473326,0,Steenwijk,NL
T3,02:00:00:b5:a7:ce,2026-02-07T18:20:16+00:00,5.3,52.824824,6.13949,3,Eesveen,NL
T3,02:00:00:28:e9:14,2026-02-07T18:14:18+00:00,5.4,52.8386243,6.17080480000004,1,Westerveld,NL
T3,02:00:00:7f:9d:64,2026-02-07T18:17:25+00:00,5.8,52.854243,6.210932,4,Vledder,NL
T3,02:00:00:05:3c:78,2026-02-07T18:18:41+00:00,6.1,52.8596453571864,6.20995330810547,6,Vledder,NL
T3,02:00:00:3e:f5:da,2026-02-07T18:18:44+00:00,5.2,52.8308506992481,6.2689608335495,4,Wapserveen,NL
T3,02:00:00:a4:43:b0,2026-02-07T18:14:54+00:00,5.0,52.862876,6.267507,7,Wapse,NL
T3,02:00:00:3c:14:78,2026-02-07T18:14:09+00:00,5.1,52.862204,6.2877763,8,Westerveld,NL
